,Release,Calendar Gross,Max Theaters,Total Gross,Release Date,Distributor,URL,Budget,Genres,MPAA,Rating,Votes,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
tt0034583,Casablanca2011 Re-release,"$1,988,013",507,"$1,155,330",Mar 21,"Warner Bros.

",https://www.boxofficemojo.com/release/rl3175646721/,950000,Drama Romance War,PG,8.5,512325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0034583,Casablanca2017 Re-release,"$1,024,560",725,"$1,024,560",Nov 12,"Fathom Events

",https://www.boxofficemojo.com/release/rl1040549377/,950000,Drama Romance War,PG,8.5,512325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0037059,Meet Me in St. Louis75th Anniversary,"$403,521",679,"$403,521",Dec 8,"Fathom Events

",https://www.boxofficemojo.com/release/rl3467346433/,1700000,Comedy Drama Family Music Romance,,7.6,19962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0046183,Peter Pan1982 Re-release,"$9,886,325",800,"$17,200,000",Dec 17,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl1550353921/,4000000,Adventure Animation Family Fantasy Musical,G,7.3,123700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0046183,Peter Pan1989 Re-release,"$29,445,131","1,533","$29,445,131",Jul 14,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl1583908353/,4000000,Adventure Animation Family Fantasy Musical,G,7.3,123700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0048280,Lady and the Tramp1986 Re-release,"$16,525,904","1,375","$31,129,082",Dec 19,"Walt Disney Studios Motion Pictures

",https://www.boxofficemojo.com/release/rl576685569/,4000000,Adventure Animation Comedy Drama Family Romance,G,7.3,120199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0052225,South Pacific2018 Re-release,"$458,000",718,"$458,000",Aug 26,"Fathom Events

",https://www.boxofficemojo.com/release/rl2147911169/,6000000,Musical Romance War,,6.8,7956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0052618,Ben-Hur2019 Re-release,"$422,622",649,"$422,622",Apr 14,"Fathom Events

",https://www.boxofficemojo.com/release/rl973637121/,15000000,Adventure Drama History,,8.1,215700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0054331,Spartacus1991 Re-release,"$1,830,650",52,"$1,830,650",Apr 26,"Universal Pictures

",https://www.boxofficemojo.com/release/rl3530589697/,12000000,Adventure Biography Drama History War,,7.9,122403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0055614,West Side Story2018 Re-release,"$398,670",616,"$398,670",Jun 24,"Fathom Events

",https://www.boxofficemojo.com/release/rl587695617/,6000000,Crime Drama Musical Romance,,7.5,95230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
